,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking,n_targets,n_merchants,n_submarines,seeds,max_samples,speed_sub,P_k,Lam_T,Lam_M,speed_target
977,24.0,17002.555555555555,6.666666666666667,14392.333333333334,12.083333333333334,15452.777777777777,3.611111111111111,16288.777777777777,3.6666666666666665,14651.722222222223,0.5555555555555556,13067.222222222223,0.5833333333333334,16224.25,0.5833333333333334,16253.805555555555,0.0,13833.611111111111,0.0,17035.25,1.0,1.0,10.0,20.0,1.0,8.0,0.78,6.0,7.0,20.0
978,47.0,12280.904761904761,14.666666666666666,12537.0,1.1428571428571428,12381.357142857143,3.1666666666666665,11320.452380952382,1.4285714285714286,14867.666666666666,0.0,13263.857142857143,0.0,13584.880952380952,0.0,16512.04761904762,0.0,14155.547619047618,0.0,12917.809523809523,1.0,1.0,10.0,8.0,1.0,8.0,0.78,6.0,7.0,20.0
979,55.0,4734.5,20.574074074074073,5206.259259259259,4.555555555555555,4834.037037037037,4.888888888888889,5219.305555555556,1.4259259259259258,5138.7037037037035,5.055555555555555,5376.925925925926,1.4259259259259258,5714.425925925926,0.6203703703703703,5811.083333333333,0.0,5725.851851851852,0.5833333333333334,6417.231481481482,1.0,1.0,10.0,10.0,1.0,20.0,0.09,9.0,35.0,23.0
980,93.0,3538.189781021898,55.66423357664234,3766.109489051095,18.21897810218978,4304.664233576642,3.240875912408759,4152.664233576642,2.18978102189781,3846.795620437956,1.7226277372262773,4341.043795620438,1.1386861313868613,5321.8978102189785,0.3357664233576642,5348.474452554745,0.26277372262773724,5780.2773722627735,0.48175182481751827,4464.985401459854,1.0,1.0,10.0,11.0,1.0,18.0,0.44,18.0,29.0,10.0
981,32.0,12321.725,11.6,14431.7,3.0,14986.6,2.625,16970.575,0.0,14065.475,2.4,15428.9,0.525,15264.6,0.525,14511.575,0.0,13475.675,0.4,15658.975,1.0,1.0,10.0,10.0,1.0,8.0,0.78,6.0,7.0,20.0
982,42.0,15101.55,13.775,14002.45,2.375,9833.375,0.0,14269.275,2.5,12333.675,0.425,12994.25,0.475,13138.975,0.0,17356.575,0.0,15614.1,0.0,15527.275,1.0,1.0,10.0,16.0,1.0,8.0,0.78,6.0,7.0,20.0
983,27.0,15112.694444444445,16.666666666666668,15171.888888888889,1.9166666666666667,17007.583333333332,1.75,13838.972222222223,2.0,16040.25,1.4166666666666667,16079.638888888889,0.5277777777777778,13521.25,0.4722222222222222,17808.694444444445,0.0,19161.972222222223,0.3611111111111111,18226.25,1.0,1.0,10.0,3.0,1.0,8.0,0.78,6.0,7.0,20.0
984,25.0,14930.1875,14.875,15901.5625,15.0,18032.34375,2.875,17837.9375,1.6875,17053.28125,0.0,20625.875,0.0,15959.75,0.40625,22662.15625,0.9375,22505.5,0.0,18186.46875,1.0,1.0,10.0,29.0,1.0,8.0,0.78,6.0,7.0,20.0
985,29.0,12583.542857142857,10.0,15643.342857142858,10.714285714285714,17224.742857142857,2.2857142857142856,15050.457142857143,2.857142857142857,16344.6,0.42857142857142855,18548.742857142857,0.0,16588.97142857143,0.0,17914.714285714286,0.0,21641.114285714284,0.42857142857142855,21564.14285714286,1.0,1.0,10.0,5.0,1.0,8.0,0.78,6.0,7.0,20.0
986,35.0,19321.466666666667,11.2,14173.633333333333,2.1333333333333333,18592.366666666665,3.4,20161.433333333334,0.0,18469.533333333333,0.0,16952.733333333334,0.0,17013.866666666665,0.4,23929.533333333333,0.8666666666666667,22979.566666666666,0.0,21553.766666666666,1.0,1.0,10.0,17.0,1.0,8.0,0.78,6.0,7.0,20.0
987,27.0,18118.758620689656,14.068965517241379,15410.862068965518,2.7586206896551726,17317.241379310344,1.103448275862069,19922.724137931036,0.0,20193.827586206895,0.0,17726.793103448275,0.5517241379310345,21674.344827586207,0.0,23065.275862068964,0.0,21230.896551724138,0.0,23246.793103448275,1.0,1.0,10.0,1.0,1.0,8.0,0.78,6.0,7.0,20.0
988,34.0,11689.90909090909,12.272727272727273,15611.212121212122,4.878787878787879,16894.939393939392,2.1818181818181817,15447.0,0.5757575757575758,16591.333333333332,0.45454545454545453,17763.757575757576,0.48484848484848486,22538.303030303032,0.36363636363636365,18259.454545454544,0.0,16614.303030303032,0.0,18631.424242424244,1.0,1.0,10.0,27.0,1.0,8.0,0.78,6.0,7.0,20.0
989,42.0,15101.55,13.775,14002.45,2.375,9833.375,0.0,14269.275,2.5,12333.675,0.425,12994.25,0.475,13138.975,0.0,17356.575,0.0,15614.1,0.0,15527.275,1.0,1.0,10.0,16.0,1.0,8.0,0.78,6.0,7.0,20.0
990,28.0,11752.75,11.0,15003.722222222223,5.25,13978.277777777777,1.0,15880.472222222223,0.4444444444444444,19727.166666666668,2.361111111111111,17948.694444444445,0.8888888888888888,16441.75,0.3611111111111111,15733.083333333334,0.0,17416.833333333332,0.6666666666666666,18687.583333333332,1.0,1.0,10.0,12.0,1.0,8.0,0.78,6.0,7.0,20.0
