,num_t,num_m,num_s,seed,max_samp,speed_s,P_k,Lam_T,Lam_M,speed_t,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
261,1,1,10,14,1,12,0.69,19,0,24,490,10930.182186234817,119.04048582995951,10297.226720647774,44.040485829959515,8596.765182186235,2.923076923076923,10679.696356275304,2.340080971659919,8222.113360323887,1.263157894736842,12901.388663967611,2.2024291497975708,11151.692307692309,0.48582995951417,9791.732793522267,0.09716599190283401,18953.11740890688,0.032388663967611336,12953.376518218623
262,1,1,10,30,1,12,0.69,19,0,24,482,10626.86776859504,116.51652892561984,10296.252066115703,24.322314049586776,9156.673553719009,7.309917355371901,11557.871900826447,3.1404958677685952,12283.037190082645,2.9834710743801653,12749.107438016528,0.7066115702479339,11109.334710743802,0.049586776859504134,15112.00826446281,0.09917355371900827,12452.219008264463,0.1652892561983471,9609.652892561984
263,1,1,10,4,1,12,0.69,19,0,24,508,9739.731517509728,134.568093385214,9520.015564202335,33.63813229571984,9481.221789883268,7.116731517509727,8377.926070038911,3.431906614785992,10368.027237354085,0.6653696498054474,4939.933852140078,0.0933852140077821,9473.933852140079,0.4980544747081712,10698.439688715953,0.4085603112840467,10465.525291828793,0.04669260700389105,9482.529182879378
264,1,1,10,19,1,14,0.25,5,0,21,136,35799.92647058824,38.11764705882353,34309.279411764706,6.617647058823529,33359.132352941175,7.0588235294117645,40579.470588235294,1.6470588235294117,45904.720588235294,0.4117647058823529,57696.544117647056,0.0,73529.41176470589,0.17647058823529413,57136.89705882353,0.08823529411764706,58178.64705882353,0.058823529411764705,72215.23529411765
265,1,1,10,6,1,14,0.25,5,0,21,138,40307.1,44.57142857142857,36248.72857142857,7.085714285714285,39201.357142857145,1.8285714285714285,49495.1,0.5142857142857142,34903.92857142857,0.6428571428571429,51304.87142857143,0.4,21549.885714285716,0.0,71428.57142857143,0.08571428571428572,26290.8,0.05714285714285714,32150.071428571428
266,1,1,10,18,1,14,0.25,5,0,21,129,33423.10769230769,38.23076923076923,33523.307692307695,8.63076923076923,43766.230769230766,6.030769230769231,48928.36923076923,0.5538461538461539,31794.8,0.06153846153846154,76861.2,0.27692307692307694,35690.338461538464,0.27692307692307694,44025.984615384616,0.06153846153846154,38765.984615384616,0.0,76923.07692307692
267,1,1,10,6,1,14,0.25,5,0,21,138,40307.1,44.57142857142857,36248.72857142857,7.085714285714285,39201.357142857145,1.8285714285714285,49495.1,0.5142857142857142,34903.92857142857,0.6428571428571429,51304.87142857143,0.4,21549.885714285716,0.0,71428.57142857143,0.08571428571428572,26290.8,0.05714285714285714,32150.071428571428
268,1,1,10,22,1,14,0.25,5,0,21,146,33484.39189189189,48.24324324324324,40477.51351351351,4.216216216216216,27408.527027027027,3.891891891891892,25282.432432432433,0.6756756756756757,45973.06756756757,0.43243243243243246,34994.87837837838,0.5405405405405406,58026.06756756757,0.0,67567.56756756757,0.13513513513513514,11719.094594594595,0.0,67567.56756756757
269,1,1,10,7,1,14,0.25,5,0,21,151,27558.636363636364,13.74025974025974,35814.66233766234,6.857142857142857,40962.71428571428,1.9870129870129871,30917.85714285714,1.2727272727272727,26882.571428571428,0.19480519480519481,58546.168831168834,0.12987012987012986,15475.896103896104,0.7792207792207793,53387.76623376623,0.012987012987012988,13664.545454545454,0.05194805194805195,52328.194805194806
270,1,1,10,20,1,14,0.25,5,0,21,122,38805.793650793654,23.142857142857142,38104.42857142857,7.619047619047619,37107.269841269845,2.0317460317460316,36556.47619047619,0.7936507936507936,33469.77777777778,1.0476190476190477,28046.714285714286,0.015873015873015872,57413.1746031746,0.06349206349206349,30288.460317460318,0.015873015873015872,38751.60317460317,0.09523809523809523,17506.47619047619
271,1,1,10,8,1,14,0.25,5,0,21,135,42059.382352941175,23.058823529411764,48313.05882352941,11.176470588235293,37970.48529411765,0.9705882352941176,25858.073529411766,2.25,41041.67647058824,0.5882352941176471,40741.41176470588,0.22058823529411764,67438.5,0.0,73529.41176470589,0.0,73529.41176470589,0.22058823529411764,32839.17647058824
272,1,1,10,10,1,14,0.25,5,0,21,140,33063.92857142857,32.05714285714286,30166.871428571427,8.742857142857142,33109.92857142857,0.9428571428571428,28224.557142857142,1.3,60346.671428571426,0.6428571428571429,52065.07142857143,0.0,71428.57142857143,0.6428571428571429,46934.65714285714,0.0,71428.57142857143,0.0,71428.57142857143
